,cumulative_regret,elbo,kl_divergence,nll
3777,2900.0,28630.822296142578,17895.372955322266,10735.449434816837
3778,2900.0,34016.499603271484,17868.999877929688,16147.499653995037
3779,2900.0,31212.405151367188,17884.72280883789,13327.682248055935
3780,2900.0,25676.08837890625,17877.153900146484,7798.934474408627
3781,2900.0,29262.680419921875,17871.189666748047,11391.490746378899
3782,2900.0,23647.02490234375,17870.076751708984,5776.948116719723
3783,2900.0,23613.018524169922,17851.88931274414,5761.12930816412
3784,2900.0,28556.414093017578,17876.040496826172,10680.373596966267
3785,2900.0,30496.224212646484,17868.57095336914,12627.653155446053
3786,2900.0,30865.920989990234,17870.65753173828,12995.263356924057
3787,2900.0,24954.819610595703,17867.79608154297,7087.023536115885
3788,2900.0,25926.18618774414,17883.70883178711,8042.477495133877
3789,2900.0,25608.7470703125,17860.558868408203,7748.188156783581
3790,2900.0,27252.074096679688,17853.458892822266,9398.615277528763
3791,2900.0,31582.87432861328,17893.719604492188,13689.154741466045
3792,2900.0,30501.575653076172,17879.74365234375,12621.83204522729
3793,2900.0,26725.976989746094,17881.211853027344,8844.765027821064
3794,2900.0,25665.764556884766,17854.397369384766,7811.367215663195
3795,2935.0,25981.23223876953,17868.727294921875,8112.504878997803
3796,2935.0,30361.926666259766,17853.365142822266,12508.561440169811
3797,2935.0,31418.529388427734,17885.72103881836,13532.808357000351
3798,2935.0,26570.723571777344,17865.38525390625,8705.338295280933
3799,2935.0,30839.064025878906,17888.53790283203,12950.526221752167
3800,2935.0,29099.878692626953,17886.69369506836,11213.185032874346
3801,2935.0,27638.567352294922,17872.0537109375,9766.513611972332
3802,2935.0,26977.941375732422,17877.90576171875,9100.035689651966
3803,2935.0,29646.083251953125,17877.14727783203,11768.935921013355
3804,2935.0,31189.633544921875,17870.33755493164,13319.295994997025
3805,2935.0,31032.158325195312,17886.50405883789,13145.654231488705
3806,2935.0,27513.211639404297,17868.916229248047,9644.295432925224
3807,2935.0,31607.428314208984,17878.260223388672,13729.16811361909
3808,2935.0,25948.188598632812,17872.196807861328,8075.991859346628
3809,2935.0,30427.767333984375,17866.470275878906,12561.296962440014
3810,2935.0,27598.21368408203,17882.64324951172,9715.570319712162
3811,2935.0,30301.793395996094,17906.448333740234,12395.345104634762
3812,2935.0,30220.453735351562,17903.967071533203,12316.486657619476
3813,2970.0,32510.63119506836,17879.847717285156,14630.78351610899
3814,2970.0,28392.509307861328,17863.291961669922,10529.217388093472
3815,2970.0,29318.103088378906,17881.498016357422,11436.604971706867
3816,2970.0,30420.408660888672,17873.207550048828,12547.20121884346
3817,2970.0,27774.502044677734,17881.246551513672,9893.25556755066
3818,2970.0,29538.986206054688,17894.152618408203,11644.833634853363
3819,2970.0,30620.582763671875,17875.72006225586,12744.862530767918
3820,2970.0,26613.423400878906,17878.100830078125,8735.322563409805
3821,2970.0,29742.047607421875,17874.258911132812,11867.788693130016
3822,2970.0,30853.76675415039,17894.027465820312,12959.73939460516
3823,2970.0,24009.947692871094,17862.594604492188,6147.353103607893
3824,2970.0,29333.80029296875,17878.993927001953,11454.80632713437
3825,2970.0,28588.953399658203,17895.814697265625,10693.138680100441
3826,2970.0,30774.152557373047,17903.273406982422,12870.8790589571
3827,2970.0,26513.528259277344,17873.144317626953,8640.383846282959
3828,2970.0,28468.929931640625,17887.74429321289,10581.185662269592
3829,2970.0,30610.302215576172,17866.65692138672,12743.645305812359
3830,2970.0,34456.835540771484,17918.10125732422,16538.734384298325
3831,2970.0,36017.21270751953,17943.957946777344,18073.25477564335
3832,2970.0,26804.965454101562,17911.551483154297,8893.413899064064
3833,2970.0,28447.349243164062,17908.185668945312,10539.163540482521
3834,2970.0,31216.743896484375,17900.539642333984,13316.204316914082
3835,2970.0,28191.769897460938,17888.699340820312,10303.070551753044
3836,2970.0,29350.545623779297,17882.270782470703,11468.274862408638
3837,2970.0,27282.69903564453,17898.425170898438,9384.273844182491
3838,2970.0,28824.425384521484,17884.41241455078,10940.012896120548
3839,2970.0,26924.084930419922,17894.19564819336,9029.889220774174
3840,2970.0,32381.453033447266,17892.101806640625,14489.351264178753
3841,2970.0,30308.854248046875,17864.051544189453,12444.80268651247
3842,2970.0,30792.379150390625,17855.24444580078,12937.134714961052
3843,2970.0,27312.650512695312,17909.77703857422,9402.8734446764
3844,2970.0,29252.206451416016,17878.061096191406,11374.145352602005
3845,2970.0,30269.780883789062,17890.153381347656,12379.627420425415
3846,2970.0,28902.386657714844,17882.508850097656,11019.877809107304
3847,2970.0,29350.682373046875,17911.077667236328,11439.60471457243
3848,2970.0,30190.751373291016,17889.078582763672,12301.672856152058
3849,2970.0,28279.146484375,17876.90008544922,10402.246378213167
3850,2970.0,29478.400848388672,17887.52017211914,11590.880581378937
3851,2970.0,27982.822692871094,17895.682067871094,10087.140666246414
3852,2970.0,30668.410247802734,17881.521881103516,12786.888342559338
3853,2970.0,28166.97137451172,17879.770904541016,10287.20045530796
3854,2970.0,27480.82110595703,17896.443450927734,9584.377724945545
3855,2970.0,30019.644287109375,17890.98373413086,12128.660540819168
3856,2970.0,30744.96029663086,17913.126892089844,12831.833483874798
3857,2970.0,31763.392944335938,17916.058959960938,13847.334042489529
3858,2970.0,29050.361694335938,17892.69366455078,11157.668116986752
3859,2970.0,29333.85205078125,17894.537841796875,11439.3141720891
3860,2970.0,27234.21548461914,17901.571716308594,9332.643761515617
3861,2970.0,30324.278442382812,17874.29864501953,12449.979919850826
3862,2970.0,25545.323181152344,17875.17269897461,7670.150468349457
3863,2970.0,28613.404693603516,17907.503387451172,10705.901230812073
3864,2970.0,26408.091796875,17908.176391601562,8499.915515333414
3865,2970.0,28881.34881591797,17889.833099365234,10991.515764832497
3866,2970.0,30657.935455322266,17906.99786376953,12750.937596261501
3867,2970.0,29438.527801513672,17889.551513671875,11548.976259887218
3868,2970.0,29487.576293945312,17890.31607055664,11597.260334938765
3869,2970.0,29286.12774658203,17884.04443359375,11402.083284914494
3870,2970.0,25340.732971191406,17869.042694091797,7471.690359771252
3871,2970.0,29131.205596923828,17874.51138305664,11256.694260597229
3872,2970.0,28129.38555908203,17906.581024169922,10222.8043846488
3873,2970.0,27708.707397460938,17892.47686767578,9816.230549514294
3874,2970.0,26551.881256103516,17907.054260253906,8644.826874256134
3875,2965.0,30908.406677246094,17909.18325805664,12999.22343802452
3876,2965.0,30723.756622314453,17870.969299316406,12852.787325620651
3877,2965.0,29848.795379638672,17887.503662109375,11961.291714251041
3878,2965.0,27974.41619873047,17867.792266845703,10106.623947560787
3879,2965.0,29394.706756591797,17875.184204101562,11519.522572040558
3880,2965.0,26538.177124023438,17889.84649658203,8648.330562353134
3881,2965.0,28995.939483642578,17897.153350830078,11098.78605902195
3882,2965.0,29639.36947631836,17881.208465576172,11758.161018639803
3883,2965.0,27306.28890991211,17883.22052001953,9423.068308830261
3884,2965.0,31367.061981201172,17885.627532958984,13481.434388577938
3885,2965.0,23523.6064453125,17873.038543701172,5650.567997336388
3886,2965.0,28856.811431884766,17866.04541015625,10990.766012817621
3887,2965.0,27644.075073242188,17874.960327148438,9769.114749968052
3888,2965.0,27467.504516601562,17887.531646728516,9579.972990393639
3889,2965.0,31679.93096923828,17905.254455566406,13774.676646053791
3890,2965.0,31020.658660888672,17884.51885986328,13136.139753222466
3891,2965.0,26323.587890625,17861.311126708984,8462.27682980895
3892,2965.0,23234.64532470703,17862.605255126953,5372.040040254593
3893,2965.0,29454.774932861328,17891.075317382812,11563.699671506882
3894,2965.0,28789.14111328125,17879.19613647461,10909.945105820894
3895,2965.0,28812.500122070312,17888.06414794922,10924.435962378979
3896,2960.0,29475.249877929688,17863.882110595703,11611.3677354455
3897,2960.0,28992.529510498047,17891.96566772461,11100.563778102398
3898,2960.0,29500.253143310547,17871.33221435547,11628.920883595943
3899,2960.0,28818.525756835938,17880.617309570312,10937.908360391855
3900,2960.0,28197.449615478516,17894.864013671875,10302.585628271103
3901,2960.0,27943.524047851562,17891.99102783203,10051.532954186201
3902,2960.0,28931.22299194336,17895.21841430664,11036.00459870696
3903,2960.0,31537.64144897461,17920.68276977539,13616.95872938633
3904,2960.0,31827.761444091797,17915.707427978516,13912.05403727293
3905,2960.0,26579.591064453125,17869.307159423828,8710.283944040537
3906,2960.0,25313.570770263672,17853.60073852539,7459.970017910004
3907,2960.0,26924.485137939453,17856.580444335938,9067.904687851667
3908,2960.0,27992.309112548828,17884.516723632812,10107.792344808578
3909,2960.0,24839.818725585938,17852.29086303711,6987.527800142765
3910,2960.0,33002.847259521484,17884.256713867188,15118.590476751328
3911,2960.0,29917.902587890625,17865.34976196289,12052.552754491568
3912,2960.0,30007.860595703125,17876.685974121094,12131.174539208412
3913,2960.0,29921.566467285156,17888.26919555664,12033.29712176323
3914,2960.0,27568.11978149414,17887.16552734375,9680.954245567322
3915,2960.0,29390.220794677734,17891.29608154297,11498.924749672413
3916,2960.0,28339.567321777344,17876.157653808594,10463.409808397293
3917,2960.0,27477.49658203125,17878.849853515625,9598.646646291018
3918,2960.0,32066.921020507812,17902.28143310547,14164.639609754086
3919,2960.0,30499.186950683594,17884.920471191406,12614.266526639462
3920,2960.0,26881.721923828125,17878.57583618164,9003.146179527044
3921,2960.0,29194.620513916016,17862.894256591797,11331.726332306862
3922,2960.0,29259.744110107422,17886.233428955078,11373.510712146759
3923,2960.0,28712.126220703125,17880.735076904297,10831.391098588705
3924,2960.0,29638.831268310547,17879.270050048828,11759.56123407185
3925,2960.0,30353.92709350586,17880.117736816406,12473.809247076511
3926,2960.0,26409.360076904297,17872.713653564453,8536.64639556408
3927,2960.0,30390.445739746094,17888.626403808594,12501.819404065609
3928,2960.0,31033.8203125,17902.580200195312,13131.239994704723
3929,2960.0,30560.802185058594,17873.841796875,12686.960354030132
3930,2960.0,27749.32485961914,17894.114959716797,9855.210002064705
3931,2960.0,27872.89810180664,17889.369354248047,9983.528733670712
3932,2960.0,28788.986785888672,17890.966064453125,10898.02071672678
3933,2960.0,27482.231231689453,17877.74072265625,9604.490561634302
3934,2960.0,29314.589782714844,17900.76889038086,11413.820966541767
3935,2960.0,27972.380126953125,17889.474731445312,10082.905457913876
3936,2960.0,24778.913024902344,17877.278533935547,6901.634510338306
3937,2960.0,32624.996673583984,17895.448333740234,14729.548275351524
3938,2960.0,28958.873901367188,17889.36163330078,11069.512198209763
3939,2960.0,28663.878295898438,17864.266571044922,10799.61171206832
3940,2960.0,27860.018157958984,17888.670318603516,9971.347927868366
3941,2960.0,31517.706298828125,17888.685272216797,13629.020954191685
3942,2960.0,29193.016082763672,17917.98892211914,11275.027253389359
3943,2960.0,31778.523956298828,17909.405883789062,13869.118072211742
3944,2960.0,31166.990814208984,17892.840698242188,13274.15012717247
3945,2960.0,24499.682556152344,17866.586944580078,6633.095644056797
3946,2960.0,29535.00375366211,17860.93994140625,11674.06384986639
3947,2960.0,31435.802856445312,17874.73388671875,13561.068953990936
3948,2960.0,31420.245208740234,17871.539520263672,13548.70571655035
3949,2960.0,25235.33822631836,17855.617767333984,7379.720573693514
3950,2960.0,28052.519622802734,17874.55014038086,10177.969542384148
3951,2960.0,25833.223571777344,17872.751831054688,7960.471770107746
3952,2960.0,27990.963104248047,17881.399017333984,10109.564071774483
3953,2960.0,28794.63299560547,17874.674682617188,10919.95839637518
3954,2960.0,26487.936279296875,17882.836364746094,8605.09981995821
3955,2960.0,29480.414489746094,17865.986602783203,11614.42791301012
3956,2960.0,27522.67950439453,17876.415496826172,9646.264053404331
3957,2960.0,28184.413452148438,17852.32797241211,10332.085416436195
3958,2960.0,29384.985443115234,17865.212677001953,11519.772774875164
3959,2960.0,29242.52178955078,17876.394653320312,11366.127105534077
3960,2960.0,28906.562591552734,17881.52084350586,11025.041811823845
3961,2960.0,32537.733428955078,17884.024047851562,14653.709442853928
3962,2960.0,27859.26092529297,17887.24819946289,9972.01267594099
3963,2960.0,25967.14129638672,17843.82537841797,8123.315910100937
3964,2960.0,28299.648223876953,17876.415649414062,10423.23257175088
3965,2960.0,27756.503448486328,17864.887573242188,9891.615771949291
